Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,733,6524,7257,Talay(ST),MMR016009
 Grade 1,88,485,573,Talay(ST),MMR016009
 Grade 2,130,480,610,Talay(ST),MMR016009
 Grade 3,202,658,860,Talay(ST),MMR016009
 Grade 4,217,617,834,Talay(ST),MMR016009
 Grade 5,383,778,1161,Talay(ST),MMR016009
 Grade 6,232,586,818,Talay(ST),MMR016009
 Grade 7,232,428,660,Talay(ST),MMR016009
 Grade 8,228,467,695,Talay(ST),MMR016009
 Grade 9,262,448,710,Talay(ST),MMR016009
 Grade 10,198,242,440,Talay(ST),MMR016009
 Grade 11,304,440,744,Talay(ST),MMR016009
 College,20,54,74,Talay(ST),MMR016009
 Vocational training,1,10,11,Talay(ST),MMR016009
 Undergraduate diploma,15,12,27,Talay(ST),MMR016009
 Graduate,177,107,284,Talay(ST),MMR016009
 Postgraduate diploma,3,1,4,Talay(ST),MMR016009
 Master degree,6,4,10,Talay(ST),MMR016009
 PhD,1,-,1,Talay(ST),MMR016009
 Other,210,573,783,Talay(ST),MMR016009
 Total,3642,12914,16556,Talay(ST),MMR016009
