Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,862,-,862,Latha,MMR013036
 Grade 1,344,-,344,Latha,MMR013036
 Grade 2,463,-,463,Latha,MMR013036
 Grade 3,719,-,719,Latha,MMR013036
 Grade 4,1423,-,1423,Latha,MMR013036
 Grade 5,1376,-,1376,Latha,MMR013036
 Grade 6,853,-,853,Latha,MMR013036
 Grade 7,977,-,977,Latha,MMR013036
 Grade 8,1576,-,1576,Latha,MMR013036
 Grade 9,1662,-,1662,Latha,MMR013036
 Grade 10,3332,-,3332,Latha,MMR013036
 Grade 11,1267,-,1267,Latha,MMR013036
 College,1956,-,1956,Latha,MMR013036
 Vocational training,46,-,46,Latha,MMR013036
 Undergraduate diploma,63,-,63,Latha,MMR013036
 Graduate,7138,-,7138,Latha,MMR013036
 Postgraduate diploma,103,-,103,Latha,MMR013036
 Master degree,131,-,131,Latha,MMR013036
 PhD,34,-,34,Latha,MMR013036
 Other,67,-,67,Latha,MMR013036
 Total,24392,-,24392,Latha,MMR013036
