Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,663,3321,3984,Tada(ST),MMR013024
 Grade 1,233,1045,1278,Tada(ST),MMR013024
 Grade 2,448,1369,1817,Tada(ST),MMR013024
 Grade 3,693,2144,2837,Tada(ST),MMR013024
 Grade 4,1196,3209,4405,Tada(ST),MMR013024
 Grade 5,1737,6463,8200,Tada(ST),MMR013024
 Grade 6,556,1415,1971,Tada(ST),MMR013024
 Grade 7,445,1028,1473,Tada(ST),MMR013024
 Grade 8,423,1048,1471,Tada(ST),MMR013024
 Grade 9,333,954,1287,Tada(ST),MMR013024
 Grade 10,533,737,1270,Tada(ST),MMR013024
 Grade 11,184,246,430,Tada(ST),MMR013024
 College,199,254,453,Tada(ST),MMR013024
 Vocational training,21,36,57,Tada(ST),MMR013024
 Undergraduate diploma,10,17,27,Tada(ST),MMR013024
 Graduate,380,361,741,Tada(ST),MMR013024
 Postgraduate diploma,4,7,11,Tada(ST),MMR013024
 Master degree,11,1,12,Tada(ST),MMR013024
 PhD,1,-,1,Tada(ST),MMR013024
 Other,166,236,402,Tada(ST),MMR013024
 Total,8236,23891,32127,Tada(ST),MMR013024
