Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2118,22443,24561,Kyauktaw,MMR012004
 Grade 1,481,6227,6708,Kyauktaw,MMR012004
 Grade 2,870,8920,9790,Kyauktaw,MMR012004
 Grade 3,1309,14437,15746,Kyauktaw,MMR012004
 Grade 4,1885,18798,20683,Kyauktaw,MMR012004
 Grade 5,2356,26052,28408,Kyauktaw,MMR012004
 Grade 6,1137,9688,10825,Kyauktaw,MMR012004
 Grade 7,966,7592,8558,Kyauktaw,MMR012004
 Grade 8,1042,7032,8074,Kyauktaw,MMR012004
 Grade 9,1122,6964,8086,Kyauktaw,MMR012004
 Grade 10,952,3690,4642,Kyauktaw,MMR012004
 Grade 11,1498,4738,6236,Kyauktaw,MMR012004
 College,530,944,1474,Kyauktaw,MMR012004
 Vocational training,72,73,145,Kyauktaw,MMR012004
 Undergraduate diploma,58,220,278,Kyauktaw,MMR012004
 Graduate,1542,1560,3102,Kyauktaw,MMR012004
 Postgraduate diploma,54,98,152,Kyauktaw,MMR012004
 Master degree,11,24,35,Kyauktaw,MMR012004
 PhD,3,3,6,Kyauktaw,MMR012004
 Other,5,266,271,Kyauktaw,MMR012004
 Total,18011,139769,157780,Kyauktaw,MMR012004
