Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,324,1165,1489,Sonemara(ST),MMR005035
 Grade 1,40,254,294,Sonemara(ST),MMR005035
 Grade 2,52,212,264,Sonemara(ST),MMR005035
 Grade 3,54,239,293,Sonemara(ST),MMR005035
 Grade 4,63,262,325,Sonemara(ST),MMR005035
 Grade 5,85,250,335,Sonemara(ST),MMR005035
 Grade 6,76,206,282,Sonemara(ST),MMR005035
 Grade 7,72,171,243,Sonemara(ST),MMR005035
 Grade 8,77,146,223,Sonemara(ST),MMR005035
 Grade 9,109,204,313,Sonemara(ST),MMR005035
 Grade 10,102,266,368,Sonemara(ST),MMR005035
 Grade 11,163,145,308,Sonemara(ST),MMR005035
 College,34,43,77,Sonemara(ST),MMR005035
 Vocational training,-,3,3,Sonemara(ST),MMR005035
 Undergraduate diploma,5,8,13,Sonemara(ST),MMR005035
 Graduate,36,22,58,Sonemara(ST),MMR005035
 Postgraduate diploma,4,2,6,Sonemara(ST),MMR005035
 Master degree,5,2,7,Sonemara(ST),MMR005035
 PhD,1,-,1,Sonemara(ST),MMR005035
 Other,11,30,41,Sonemara(ST),MMR005035
 Total,1313,3630,4943,Sonemara(ST),MMR005035
