Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,398,466,864,Bawlakhe,MMR002005
 Grade 1,135,266,401,Bawlakhe,MMR002005
 Grade 2,147,322,469,Bawlakhe,MMR002005
 Grade 3,218,459,677,Bawlakhe,MMR002005
 Grade 4,333,390,723,Bawlakhe,MMR002005
 Grade 5,432,643,1075,Bawlakhe,MMR002005
 Grade 6,227,291,518,Bawlakhe,MMR002005
 Grade 7,221,232,453,Bawlakhe,MMR002005
 Grade 8,307,181,488,Bawlakhe,MMR002005
 Grade 9,239,230,469,Bawlakhe,MMR002005
 Grade 10,513,182,695,Bawlakhe,MMR002005
 Grade 11,152,79,231,Bawlakhe,MMR002005
 College,58,15,73,Bawlakhe,MMR002005
 Vocational training,10,6,16,Bawlakhe,MMR002005
 Undergraduate diploma,37,8,45,Bawlakhe,MMR002005
 Graduate,337,30,367,Bawlakhe,MMR002005
 Postgraduate diploma,4,1,5,Bawlakhe,MMR002005
 Master degree,17,1,18,Bawlakhe,MMR002005
 PhD,1,-,1,Bawlakhe,MMR002005
 Other,20,71,91,Bawlakhe,MMR002005
 Total,3806,3873,7679,Bawlakhe,MMR002005
