Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,189,13104,13293,Shan Ywathit(ST),MMR003002
 Grade 1,23,751,774,Shan Ywathit(ST),MMR003002
 Grade 2,40,654,694,Shan Ywathit(ST),MMR003002
 Grade 3,30,709,739,Shan Ywathit(ST),MMR003002
 Grade 4,29,589,618,Shan Ywathit(ST),MMR003002
 Grade 5,55,809,864,Shan Ywathit(ST),MMR003002
 Grade 6,31,346,377,Shan Ywathit(ST),MMR003002
 Grade 7,15,227,242,Shan Ywathit(ST),MMR003002
 Grade 8,23,222,245,Shan Ywathit(ST),MMR003002
 Grade 9,14,165,179,Shan Ywathit(ST),MMR003002
 Grade 10,8,107,115,Shan Ywathit(ST),MMR003002
 Grade 11,4,108,112,Shan Ywathit(ST),MMR003002
 College,1,13,14,Shan Ywathit(ST),MMR003002
 Vocational training,-,1,1,Shan Ywathit(ST),MMR003002
 Undergraduate diploma,-,5,5,Shan Ywathit(ST),MMR003002
 Graduate,1,24,25,Shan Ywathit(ST),MMR003002
 Postgraduate diploma,-,1,1,Shan Ywathit(ST),MMR003002
 Master degree,2,-,2,Shan Ywathit(ST),MMR003002
 Other,-,380,380,Shan Ywathit(ST),MMR003002
 Total,465,18215,18680,Shan Ywathit(ST),MMR003002
