Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1249,17253,18502,Theinni,MMR015002
 Grade 1,240,1974,2214,Theinni,MMR015002
 Grade 2,367,2486,2853,Theinni,MMR015002
 Grade 3,492,3003,3495,Theinni,MMR015002
 Grade 4,534,3246,3780,Theinni,MMR015002
 Grade 5,941,4084,5025,Theinni,MMR015002
 Grade 6,601,1974,2575,Theinni,MMR015002
 Grade 7,497,1532,2029,Theinni,MMR015002
 Grade 8,527,1612,2139,Theinni,MMR015002
 Grade 9,593,1433,2026,Theinni,MMR015002
 Grade 10,424,1091,1515,Theinni,MMR015002
 Grade 11,973,1078,2051,Theinni,MMR015002
 College,241,288,529,Theinni,MMR015002
 Vocational training,13,4,17,Theinni,MMR015002
 Undergraduate diploma,20,50,70,Theinni,MMR015002
 Graduate,543,544,1087,Theinni,MMR015002
 Postgraduate diploma,37,62,99,Theinni,MMR015002
 Master degree,12,27,39,Theinni,MMR015002
 PhD,1,2,3,Theinni,MMR015002
 Other,69,792,861,Theinni,MMR015002
 Total,8374,42535,50909,Theinni,MMR015002
