Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1390,1324,2714,Khamaukgyi,MMR006009
 Grade 1,392,685,1077,Khamaukgyi,MMR006009
 Grade 2,541,700,1241,Khamaukgyi,MMR006009
 Grade 3,991,1195,2186,Khamaukgyi,MMR006009
 Grade 4,905,1377,2282,Khamaukgyi,MMR006009
 Grade 5,1722,2226,3948,Khamaukgyi,MMR006009
 Grade 6,819,832,1651,Khamaukgyi,MMR006009
 Grade 7,482,598,1080,Khamaukgyi,MMR006009
 Grade 8,448,476,924,Khamaukgyi,MMR006009
 Grade 9,515,532,1047,Khamaukgyi,MMR006009
 Grade 10,291,284,575,Khamaukgyi,MMR006009
 Grade 11,452,378,830,Khamaukgyi,MMR006009
 College,124,61,185,Khamaukgyi,MMR006009
 Vocational training,6,6,12,Khamaukgyi,MMR006009
 Undergraduate diploma,25,22,47,Khamaukgyi,MMR006009
 Graduate,302,157,459,Khamaukgyi,MMR006009
 Postgraduate diploma,3,7,10,Khamaukgyi,MMR006009
 Master degree,9,3,12,Khamaukgyi,MMR006009
 Other,5,12,17,Khamaukgyi,MMR006009
 Total,9422,10875,20297,Khamaukgyi,MMR006009
