Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,546,4444,4990,Momauk,MMR001012
 Grade 1,467,1319,1786,Momauk,MMR001012
 Grade 2,556,1782,2338,Momauk,MMR001012
 Grade 3,758,2551,3309,Momauk,MMR001012
 Grade 4,702,3065,3767,Momauk,MMR001012
 Grade 5,1159,3719,4878,Momauk,MMR001012
 Grade 6,751,2103,2854,Momauk,MMR001012
 Grade 7,654,1880,2534,Momauk,MMR001012
 Grade 8,651,1696,2347,Momauk,MMR001012
 Grade 9,835,1646,2481,Momauk,MMR001012
 Grade 10,652,1065,1717,Momauk,MMR001012
 Grade 11,971,1142,2113,Momauk,MMR001012
 College,243,381,624,Momauk,MMR001012
 Vocational training,12,14,26,Momauk,MMR001012
 Undergraduate diploma,20,28,48,Momauk,MMR001012
 Graduate,561,565,1126,Momauk,MMR001012
 Postgraduate diploma,8,9,17,Momauk,MMR001012
 Master degree,6,24,30,Momauk,MMR001012
 Other,2,652,654,Momauk,MMR001012
 Total,9554,28085,37639,Momauk,MMR001012
