Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1868,42571,44439,Minemaw,MMR015008
 Grade 1,418,2527,2945,Minemaw,MMR015008
 Grade 2,347,2799,3146,Minemaw,MMR015008
 Grade 3,409,2813,3222,Minemaw,MMR015008
 Grade 4,379,2075,2454,Minemaw,MMR015008
 Grade 5,305,1506,1811,Minemaw,MMR015008
 Grade 6,297,969,1266,Minemaw,MMR015008
 Grade 7,246,686,932,Minemaw,MMR015008
 Grade 8,156,414,570,Minemaw,MMR015008
 Grade 9,162,276,438,Minemaw,MMR015008
 Grade 10,105,110,215,Minemaw,MMR015008
 Grade 11,54,92,146,Minemaw,MMR015008
 College,37,25,62,Minemaw,MMR015008
 Vocational training,6,6,12,Minemaw,MMR015008
 Undergraduate diploma,5,3,8,Minemaw,MMR015008
 Graduate,59,58,117,Minemaw,MMR015008
 Postgraduate diploma,-,1,1,Minemaw,MMR015008
 Master degree,-,1,1,Minemaw,MMR015008
 PhD,-,2,2,Minemaw,MMR015008
 Other,88,89,177,Minemaw,MMR015008
 Total,4941,57023,61964,Minemaw,MMR015008
