Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4300,15325,19625,Phyapon,MMR017023
 Grade 1,1509,5268,6777,Phyapon,MMR017023
 Grade 2,2001,7272,9273,Phyapon,MMR017023
 Grade 3,2656,10311,12967,Phyapon,MMR017023
 Grade 4,5164,19627,24791,Phyapon,MMR017023
 Grade 5,6429,29466,35895,Phyapon,MMR017023
 Grade 6,2786,7407,10193,Phyapon,MMR017023
 Grade 7,2637,5663,8300,Phyapon,MMR017023
 Grade 8,2980,5395,8375,Phyapon,MMR017023
 Grade 9,2811,4300,7111,Phyapon,MMR017023
 Grade 10,4928,5480,10408,Phyapon,MMR017023
 Grade 11,1493,1615,3108,Phyapon,MMR017023
 College,1345,1226,2571,Phyapon,MMR017023
 Vocational training,27,46,73,Phyapon,MMR017023
 Undergraduate diploma,141,132,273,Phyapon,MMR017023
 Graduate,3995,2122,6117,Phyapon,MMR017023
 Postgraduate diploma,104,93,197,Phyapon,MMR017023
 Master degree,47,11,58,Phyapon,MMR017023
 PhD,6,4,10,Phyapon,MMR017023
 Other,194,4201,4395,Phyapon,MMR017023
 Total,45553,124964,170517,Phyapon,MMR017023
