Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2128,26527,28655,Myebon,MMR012006
 Grade 1,610,6256,6866,Myebon,MMR012006
 Grade 2,707,8650,9357,Myebon,MMR012006
 Grade 3,853,12690,13543,Myebon,MMR012006
 Grade 4,801,14176,14977,Myebon,MMR012006
 Grade 5,1310,17252,18562,Myebon,MMR012006
 Grade 6,533,6792,7325,Myebon,MMR012006
 Grade 7,500,5029,5529,Myebon,MMR012006
 Grade 8,423,4235,4658,Myebon,MMR012006
 Grade 9,494,3899,4393,Myebon,MMR012006
 Grade 10,341,1965,2306,Myebon,MMR012006
 Grade 11,638,3120,3758,Myebon,MMR012006
 College,253,761,1014,Myebon,MMR012006
 Vocational training,19,80,99,Myebon,MMR012006
 Undergraduate diploma,37,207,244,Myebon,MMR012006
 Graduate,644,1060,1704,Myebon,MMR012006
 Postgraduate diploma,16,38,54,Myebon,MMR012006
 Master degree,3,7,10,Myebon,MMR012006
 PhD,-,1,1,Myebon,MMR012006
 Other,64,425,489,Myebon,MMR012006
 Total,10374,113170,123544,Myebon,MMR012006
