Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,191,3672,3863,Taungtha,MMR010018
 Rural,357,45632,45989,Taungtha,MMR010018
 Total,548,49304,49852,Taungtha,MMR010018
