Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,164,3880,4044,Bilin,MMR011010
 Rural,255,34932,35187,Bilin,MMR011010
 Total,419,38812,39231,Bilin,MMR011010
