Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,113,2933,3046,Einme,MMR017015
 Rural,116,43293,43409,Einme,MMR017015
 Total,229,46226,46455,Einme,MMR017015
