Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,6520,46527,53047,Chanmyatharzi,MMR010004
 Total,6520,46527,53047,Chanmyatharzi,MMR010004
