Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,381,4930,5311,Madaya,MMR010009
 Rural,576,52758,53334,Madaya,MMR010009
 Total,957,57688,58645,Madaya,MMR010009
