Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,79,7195,7274,Myauk U,MMR012003
 Rural,40,34211,34251,Myauk U,MMR012003
 Total,119,41406,41525,Myauk U,MMR012003
