Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,65,404,469,Panwine,MMR015007
 Rural,401,13099,13500,Panwine,MMR015007
 Total,466,13503,13969,Panwine,MMR015007
