Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,165,5141,5306,Kyangin,MMR017012
 Rural,192,21359,21551,Kyangin,MMR017012
 Total,357,26500,26857,Kyangin,MMR017012
