Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,39,3539,3578,Ingapu,MMR017013
 Rural,201,53450,53651,Ingapu,MMR017013
 Total,240,56989,57229,Ingapu,MMR017013
