Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,4,829,833,Ngayokaung(ST),MMR017004
 Rural,39,9329,9368,Ngayokaung(ST),MMR017004
 Total,43,10158,10201,Ngayokaung(ST),MMR017004
