Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,17,2524,2541,Ngaputaw,MMR017004
 Rural,126,34709,34835,Ngaputaw,MMR017004
 Total,143,37233,37376,Ngaputaw,MMR017004
