Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,5541,27184,32725,South Okkalapa,MMR013011
 Total,5541,27184,32725,South Okkalapa,MMR013011
