Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,22,536,558,Minekat,MMR016002
 Rural,40,7427,7467,Minekat,MMR016002
 Total,62,7963,8025,Minekat,MMR016002
