Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,523,19306,19829,Hinthada,MMR017008
 Rural,286,66014,66300,Hinthada,MMR017008
 Total,809,85320,86129,Hinthada,MMR017008
