Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,158,4134,4292,Pantanaw,MMR017020
 Rural,352,55633,55985,Pantanaw,MMR017020
 Total,510,59767,60277,Pantanaw,MMR017020
