Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,289,12224,12513,Myaungmya,MMR017014
 Rural,71,53588,53659,Myaungmya,MMR017014
 Total,360,65812,66172,Myaungmya,MMR017014
