Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,3008,36660,39668,Myitkyina,MMR001001
 Rural,158,10757,10915,Myitkyina,MMR001001
 Total,3166,47417,50583,Myitkyina,MMR001001
 Urban,191,3629,3820,Waingmaw,MMR001002
 Rural,213,15747,15960,Waingmaw,MMR001002
 Total,404,19376,19780,Waingmaw,MMR001002
 Urban,-,78,78,Ingyanyan,MMR001003
 Rural,1,206,207,Ingyanyan,MMR001003
 Total,1,284,285,Ingyanyan,MMR001003
 Urban,103,3591,3694,Tanaing,MMR001004
 Rural,19,2685,2704,Tanaing,MMR001004
 Total,122,6276,6398,Tanaing,MMR001004
 Urban,5,324,329,Chiphwe,MMR001005
 Rural,41,1561,1602,Chiphwe,MMR001005
 Total,46,1885,1931,Chiphwe,MMR001005
 Urban,-,66,66,Hsotlaw,MMR001006
 Rural,5,1002,1007,Hsotlaw,MMR001006
 Total,5,1068,1073,Hsotlaw,MMR001006
 Urban,8,696,704,Hsinbo(ST),MMR001001
 Rural,6,1298,1304,Hsinbo(ST),MMR001001
 Total,14,1994,2008,Hsinbo(ST),MMR001001
 Urban,21,489,510,Hsadone(ST),MMR001002
 Rural,17,1083,1100,Hsadone(ST),MMR001002
 Total,38,1572,1610,Hsadone(ST),MMR001002
 Urban,36,138,174,Kanpaikti(ST),MMR001002
 Rural,67,1229,1296,Kanpaikti(ST),MMR001002
 Total,103,1367,1470,Kanpaikti(ST),MMR001002
 Urban,21,1004,1025,Shinbwayyan(ST),MMR001004
 Rural,4,1101,1105,Shinbwayyan(ST),MMR001004
 Total,25,2105,2130,Shinbwayyan(ST),MMR001004
 Urban,47,149,196,Panwa(ST),MMR001005
 Rural,132,1047,1179,Panwa(ST),MMR001005
 Total,179,1196,1375,Panwa(ST),MMR001005
 Urban,278,6075,6353,Mohnyin,MMR001007
 Rural,415,23422,23837,Mohnyin,MMR001007
 Total,693,29497,30190,Mohnyin,MMR001007
 Urban,286,4162,4448,Mogaung,MMR001008
 Rural,332,20118,20450,Mogaung,MMR001008
 Total,618,24280,24898,Mogaung,MMR001008
 Urban,491,6365,6856,Phakant,MMR001009
 Rural,1907,24371,26278,Phakant,MMR001009
 Total,2398,30736,33134,Phakant,MMR001009
 Urban,202,4339,4541,Hopin(ST),MMR001007
 Rural,89,4802,4891,Hopin(ST),MMR001007
 Total,291,9141,9432,Hopin(ST),MMR001007
 Urban,31,999,1030,Kamine(ST),MMR001009
 Rural,21,2447,2468,Kamine(ST),MMR001009
 Total,52,3446,3498,Kamine(ST),MMR001009
 Urban,582,8933,9515,Bhamo,MMR001010
 Rural,470,14176,14646,Bhamo,MMR001010
 Total,1052,23109,24161,Bhamo,MMR001010
 Urban,139,3263,3402,Shwegu,MMR001011
 Rural,293,12133,12426,Shwegu,MMR001011
 Total,432,15396,15828,Shwegu,MMR001011
 Urban,36,2054,2090,Momauk,MMR001012
 Rural,276,6268,6544,Momauk,MMR001012
 Total,312,8322,8634,Momauk,MMR001012
 Urban,84,1534,1618,Mansi,MMR001013
 Rural,560,8376,8936,Mansi,MMR001013
 Total,644,9910,10554,Mansi,MMR001013
 Urban,10,351,361,Myohla(ST),MMR001011
 Rural,15,417,432,Myohla(ST),MMR001011
 Total,25,768,793,Myohla(ST),MMR001011
 Urban,110,1115,1225,Lwe`ge`(ST),MMR001012
 Rural,6,272,278,Lwe`ge`(ST),MMR001012
 Total,116,1387,1503,Lwe`ge`(ST),MMR001012
 Urban,6,305,311,Dotphoneyan(ST),MMR001012
 Rural,74,1848,1922,Dotphoneyan(ST),MMR001012
 Total,80,2153,2233,Dotphoneyan(ST),MMR001012
 Urban,60,2751,2811,Putao,MMR001014
 Rural,10,7922,7932,Putao,MMR001014
 Total,70,10673,10743,Putao,MMR001014
 Urban,3,169,172,Sumprabum,MMR001015
 Rural,-,307,307,Sumprabum,MMR001015
 Total,3,476,479,Sumprabum,MMR001015
 Urban,6,402,408,Machanbaw,MMR001016
 Rural,1,1310,1311,Machanbaw,MMR001016
 Total,7,1712,1719,Machanbaw,MMR001016
 Urban,-,70,70,Khaunglanphoo,MMR001018
 Rural,12,1629,1641,Khaunglanphoo,MMR001018
 Total,12,1699,1711,Khaunglanphoo,MMR001018
 Urban,1,359,360,Naungmoon,MMR001017
 Rural,2,581,583,Naungmoon,MMR001017
 Total,3,940,943,Naungmoon,MMR001017
 Urban,-,24,24,Pannandin(ST),MMR001017
 Rural,-,245,245,Pannandin(ST),MMR001017
 Total,-,269,269,Pannandin(ST),MMR001017
 Urban,937,9485,10422,Loikaw,MMR002001
 Rural,438,15635,16073,Loikaw,MMR002001
 Total,1375,25120,26495,Loikaw,MMR002001
 Urban,48,1089,1137,Dimawso,MMR002002
 Rural,263,13947,14210,Dimawso,MMR002002
 Total,311,15036,15347,Dimawso,MMR002002
 Urban,14,839,853,Phruso,MMR002003
 Rural,9,5048,5057,Phruso,MMR002003
 Total,23,5887,5910,Phruso,MMR002003
 Urban,7,329,336,Shardaw,MMR002004
 Rural,7,1063,1070,Shardaw,MMR002004
 Total,14,1392,1406,Shardaw,MMR002004
 Urban,27,812,839,Bawlakhe,MMR002005
 Rural,7,743,750,Bawlakhe,MMR002005
 Total,34,1555,1589,Bawlakhe,MMR002005
 Urban,28,566,594,Parsaung,MMR002006
 Rural,87,4052,4139,Parsaung,MMR002006
 Total,115,4618,4733,Parsaung,MMR002006
 Urban,7,188,195,Meisi,MMR002007
 Rural,18,1089,1107,Meisi,MMR002007
 Total,25,1277,1302,Meisi,MMR002007
 Urban,9,283,292,Ywathit(ST),MMR002005
 Rural,-,200,200,Ywathit(ST),MMR002005
 Total,9,483,492,Ywathit(ST),MMR002005
 Urban,1662,13106,14768,Hpa-an,MMR003001
 Rural,2619,71810,74429,Hpa-an,MMR003001
 Total,4281,84916,89197,Hpa-an,MMR003001
 Urban,166,2113,2279,Hlaingbwe,MMR003002
 Rural,906,28401,29307,Hlaingbwe,MMR003002
 Total,1072,30514,31586,Hlaingbwe,MMR003002
 Urban,82,2980,3062,Thandaunggyi,MMR003004
 Rural,16,2731,2747,Thandaunggyi,MMR003004
 Total,98,5711,5809,Thandaunggyi,MMR003004
 Urban,47,760,807,Paingkyon(ST),MMR003002
 Rural,348,16623,16971,Paingkyon(ST),MMR003002
 Total,395,17383,17778,Paingkyon(ST),MMR003002
 Urban,4,79,83,Shan Ywathit(ST),MMR003002
 Rural,82,3591,3673,Shan Ywathit(ST),MMR003002
 Total,86,3670,3756,Shan Ywathit(ST),MMR003002
 Urban,20,587,607,Leiktho(ST),MMR003004
 Rural,73,9246,9319,Leiktho(ST),MMR003004
 Total,93,9833,9926,Leiktho(ST),MMR003004
 Urban,11,425,436,Bawgali(ST),MMR003004
 Rural,14,2955,2969,Bawgali(ST),MMR003004
 Total,25,3380,3405,Bawgali(ST),MMR003004
 Urban,46,587,633,Pharpon,MMR003003
 Rural,21,1890,1911,Pharpon,MMR003003
 Total,67,2477,2544,Pharpon,MMR003003
 Urban,99,2650,2749,Kamamaung(ST},MMR003003
 Rural,21,1188,1209,Kamamaung(ST},MMR003003
 Total,120,3838,3958,Kamamaung(ST},MMR003003
 Urban,2320,21696,24016,Myawady,MMR003005
 Rural,992,16250,17242,Myawady,MMR003005
 Total,3312,37946,41258,Myawady,MMR003005
 Urban,3,72,75,Sugali(ST),MMR003005
 Rural,26,960,986,Sugali(ST),MMR003005
 Total,29,1032,1061,Sugali(ST),MMR003005
 Urban,21,556,577,Wawlaymyaing(ST),MMR003005
 Rural,17,1103,1120,Wawlaymyaing(ST),MMR003005
 Total,38,1659,1697,Wawlaymyaing(ST),MMR003005
 Urban,437,8045,8482,Kawkareik,MMR003006
 Rural,801,36215,37016,Kawkareik,MMR003006
 Total,1238,44260,45498,Kawkareik,MMR003006
 Urban,82,1735,1817,Kyarinseikkyi,MMR003007
 Rural,471,19752,20223,Kyarinseikkyi,MMR003007
 Total,553,21487,22040,Kyarinseikkyi,MMR003007
 Urban,678,5418,6096,Payarthonezu(ST),MMR003007
 Rural,230,11469,11699,Payarthonezu(ST),MMR003007
 Total,908,16887,17795,Payarthonezu(ST),MMR003007
 Urban,52,628,680,Kyaidon(ST),MMR003007
 Rural,84,9969,10053,Kyaidon(ST),MMR003007
 Total,136,10597,10733,Kyaidon(ST),MMR003007
 Urban,145,5076,5221,HaKa,MMR004002
 Rural,3,4693,4696,HaKa,MMR004002
 Total,148,9769,9917,HaKa,MMR004002
 Urban,38,1469,1507,Thantlang,MMR004003
 Rural,44,8231,8275,Thantlang,MMR004003
 Total,82,9700,9782,Thantlang,MMR004003
 Urban,35,1967,2002,Falam,MMR004001
 Rural,17,6409,6426,Falam,MMR004001
 Total,52,8376,8428,Falam,MMR004001
 Urban,54,2196,2250,Tedim,MMR004004
 Rural,168,12265,12433,Tedim,MMR004004
 Total,222,14461,14683,Tedim,MMR004004
 Urban,20,620,640,Tonzaung,MMR004005
 Rural,2,2769,2771,Tonzaung,MMR004005
 Total,22,3389,3411,Tonzaung,MMR004005
 Urban,21,649,670,Rihkhuadal(ST),MMR004001
 Rural,3,525,528,Rihkhuadal(ST),MMR004001
 Total,24,1174,1198,Rihkhuadal(ST),MMR004001
 Urban,5,210,215,Cikha(ST),MMR004005
 Rural,3,1312,1315,Cikha(ST),MMR004005
 Total,8,1522,1530,Cikha(ST),MMR004005
 Urban,70,2273,2343,Mindat,MMR004006
 Rural,6,6173,6179,Mindat,MMR004006
 Total,76,8446,8522,Mindat,MMR004006
 Urban,25,1645,1670,Matupi,MMR004007
 Rural,9,5957,5966,Matupi,MMR004007
 Total,34,7602,7636,Matupi,MMR004007
 Urban,24,783,807,Kanpalet,MMR004008
 Rural,9,3161,3170,Kanpalet,MMR004008
 Total,33,3944,3977,Kanpalet,MMR004008
 Urban,1,1349,1350,Paletwat,MMR004009
 Rural,10,11933,11943,Paletwat,MMR004009
 Total,11,13282,13293,Paletwat,MMR004009
 Urban,6,456,462,Reazu(ST),MMR004007
 Rural,11,2048,2059,Reazu(ST),MMR004007
 Total,17,2504,2521,Reazu(ST),MMR004007
 Urban,-,633,633,Sami(ST),MMR004009
 Rural,4,5586,5590,Sami(ST),MMR004009
 Total,4,6219,6223,Sami(ST),MMR004009
 Urban,1130,15366,16496,Sagaing,MMR005001
 Rural,801,47846,48647,Sagaing,MMR005001
 Total,1931,63212,65143,Sagaing,MMR005001
 Urban,216,3415,3631,Myinmu,MMR005002
 Rural,155,21518,21673,Myinmu,MMR005002
 Total,371,24933,25304,Myinmu,MMR005002
 Urban,72,1881,1953,Myaung,MMR005003
 Rural,106,22203,22309,Myaung,MMR005003
 Total,178,24084,24262,Myaung,MMR005003
 Urban,856,12675,13531,Shwebo,MMR005004
 Rural,343,36373,36716,Shwebo,MMR005004
 Total,1199,49048,50247,Shwebo,MMR005004
 Urban,88,2203,2291,Khin U,MMR005005
 Rural,194,30139,30333,Khin U,MMR005005
 Total,282,32342,32624,Khin U,MMR005005
 Urban,90,2216,2306,Wetlet,MMR005006
 Rural,346,44060,44406,Wetlet,MMR005006
 Total,436,46276,46712,Wetlet,MMR005006
 Urban,99,5084,5183,Kambalu,MMR005007
 Rural,471,55672,56143,Kambalu,MMR005007
 Total,570,60756,61326,Kambalu,MMR005007
 Urban,135,2364,2499,Kyunhlau,MMR005008
 Rural,139,18225,18364,Kyunhlau,MMR005008
 Total,274,20589,20863,Kyunhlau,MMR005008
 Urban,252,3713,3965,Ye U,MMR005009
 Rural,109,22299,22408,Ye U,MMR005009
 Total,361,26012,26373,Ye U,MMR005009
 Urban,30,925,955,Depayin,MMR005010
 Rural,247,29143,29390,Depayin,MMR005010
 Total,277,30068,30345,Depayin,MMR005010
 Urban,252,2720,2972,Tasei,MMR005011
 Rural,217,32748,32965,Tasei,MMR005011
 Total,469,35468,35937,Tasei,MMR005011
 Urban,59,2247,2306,Kyaukmyaung(ST),MMR005004
 Rural,43,4701,4744,Kyaukmyaung(ST),MMR005004
