Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,9,810,819,Shwethaungyan(ST),MMR017001
 Rural,64,9298,9362,Shwethaungyan(ST),MMR017001
 Total,73,10108,10181,Shwethaungyan(ST),MMR017001
