Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,5539,56137,61676,Insein,MMR013001
 Total,5539,56137,61676,Insein,MMR013001
