Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,400,10306,10706,Thaton,MMR011007
 Rural,468,37110,37578,Thaton,MMR011007
 Total,868,47416,48284,Thaton,MMR011007
