Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,6360,36344,42704,Dagon Myothit(North),MMR013019
 Total,6360,36344,42704,Dagon Myothit(North),MMR013019
