Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1097,15533,16630,Amarapura,MMR010006
 Rural,1808,31188,32996,Amarapura,MMR010006
 Total,2905,46721,49626,Amarapura,MMR010006
