Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,232,2420,2652,Tada U,MMR010016
 Rural,410,29565,29975,Tada U,MMR010016
 Total,642,31985,32627,Tada U,MMR010016
