Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,319,4027,4346,Myitthar,MMR010015
 Rural,481,41190,41671,Myitthar,MMR010015
 Total,800,45217,46017,Myitthar,MMR010015
