Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,280,5047,5327,Yame`thin,MMR010023
 Rural,338,51594,51932,Yame`thin,MMR010023
 Total,618,56641,57259,Yame`thin,MMR010023
