Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,99,5081,5180,Danubyu,MMR017022
 Rural,89,39528,39617,Danubyu,MMR017022
 Total,188,44609,44797,Danubyu,MMR017022
