Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,158,6020,6178,Toungup,MMR012016
 Rural,57,19004,19061,Toungup,MMR012016
 Total,215,25024,25239,Toungup,MMR012016
