Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,968,13441,14409,Dawbon,MMR013014
 Total,968,13441,14409,Dawbon,MMR013014
