Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,3280,28661,31941,Pyin Oo Lwin,MMR010008
 Rural,1108,20333,21441,Pyin Oo Lwin,MMR010008
 Total,4388,48994,53382,Pyin Oo Lwin,MMR010008
