Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,172,5730,5902,Paung,MMR011008
 Rural,574,37250,37824,Paung,MMR011008
 Total,746,42980,43726,Paung,MMR011008
