Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,86,3864,3950,Kyaungon,MMR017007
 Rural,71,37381,37452,Kyaungon,MMR017007
 Total,157,41245,41402,Kyaungon,MMR017007
