Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,23,3526,3549,Hainggyikyun(ST),MMR017004
 Rural,119,25407,25526,Hainggyikyun(ST),MMR017004
 Total,142,28933,29075,Hainggyikyun(ST),MMR017004
