Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,73,1983,2056,Htantabin,MMR013006
 Rural,325,31830,32155,Htantabin,MMR013006
 Total,398,33813,34211,Htantabin,MMR013006
