Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,88,1031,1119,Minetung,MMR016008
 Rural,79,3060,3139,Minetung,MMR016008
 Total,167,4091,4258,Minetung,MMR016008
