Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,120,1628,1748,Kholan(ST),MMR014013
 Rural,80,2536,2616,Kholan(ST),MMR014013
 Total,200,4164,4364,Kholan(ST),MMR014013
