Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,95,579,674,Homane(ST),MMR014018
 Rural,13,473,486,Homane(ST),MMR014018
 Total,108,1052,1160,Homane(ST),MMR014018
