Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,945,15741,16686,Mogok,MMR010011
 Rural,473,18088,18561,Mogok,MMR010011
 Total,1418,33829,35247,Mogok,MMR010011
