Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,674,8339,9013,Kyaukpadaung,MMR010020
 Rural,407,52541,52948,Kyaukpadaung,MMR010020
 Total,1081,60880,61961,Kyaukpadaung,MMR010020
