Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,213,2557,2770,Pinlaung,MMR014009
 Rural,529,22205,22734,Pinlaung,MMR014009
 Total,742,24762,25504,Pinlaung,MMR014009
