Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,256,6500,6756,Thongwa,MMR013025
 Rural,272,33059,33331,Thongwa,MMR013025
 Total,528,39559,40087,Thongwa,MMR013025
