Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,69,645,714,Mabane,MMR015018
 Rural,729,7189,7918,Mabane,MMR015018
 Total,798,7834,8632,Mabane,MMR015018
