Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,203,1565,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,180,2595,2775,Pansai(KyuKute)(ST),MMR015009
 Total,383,4160,4543,Pansai(KyuKute)(ST),MMR015009
