Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,4216,12083,16299,Kamayut,MMR013041
 Total,4216,12083,16299,Kamayut,MMR013041
