Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,19,488,507,Minesan(Monsan)(ST),MMR014017
 Rural,29,6130,6159,Minesan(Monsan)(ST),MMR014017
 Total,48,6618,6666,Minesan(Monsan)(ST),MMR014017
