Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,116,1967,2083,Mineshu,MMR014017
 Rural,148,6970,7118,Mineshu,MMR014017
 Total,264,8937,9201,Mineshu,MMR014017
