Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,1635,2973,4608,Dagon,MMR013043
 Total,1635,2973,4608,Dagon,MMR013043
