Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,75,2156,2231,Kawhmu,MMR013028
 Rural,133,27428,27561,Kawhmu,MMR013028
 Total,208,29584,29792,Kawhmu,MMR013028
