Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,372,9492,9864,Kyauktan,MMR013024
 Rural,210,22902,23112,Kyauktan,MMR013024
 Total,582,32394,32976,Kyauktan,MMR013024
