Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,-,501,501,Pyinsalu(ST),MMR017016
 Rural,31,19905,19936,Pyinsalu(ST),MMR017016
 Total,31,20406,20437,Pyinsalu(ST),MMR017016
