Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,183,4537,4720,Thazi,MMR010030
 Rural,424,39748,40172,Thazi,MMR010030
 Total,607,44285,44892,Thazi,MMR010030
