Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,938,8164,9102,Kengtung,MMR016001
 Rural,374,24620,24994,Kengtung,MMR016001
 Total,1312,32784,34096,Kengtung,MMR016001
